LINE,CNV_MYC_1,CNV_MYC_2,CNV_MYC_3,CNV_MYC_4,CNV_MYC_5,MYC_1,MYC_2,MYC_3,MYC_4,MYC_5,MIR17_1,MIR17_2,MIR17_3,MIR17_4,MIR17_5,MIR19A_1,MIR19A_2,MIR19A_3,MIR19A_4,MIR19A_5,MIR20A_1,MIR20A_2,MIR20A_3,MIR20A_4,MIR20A_5
261-1,1,2,3,4,5,80.5345,160.65,240.353,319.651,398.548,494.116,966.339,1436.13,1903.53,2368.57,21.7476,42.5316,63.2087,83.7804,104.248,168.368,329.276,489.355,648.62,807.081
262-1,1,2,3,4,5,4.94146,9.87943,14.8139,19.7449,24.6725,132.124,235.875,339.552,443.157,546.688,8.00756,14.2955,20.579,26.8581,33.1327,66.8325,119.313,171.756,224.162,276.532
263-1,1,2,3,4,5,9.85277,14.1495,17.4478,20.2289,22.6793,302.23,430.3,528.612,611.506,684.544,32.3315,46.032,56.5491,65.4169,73.2302,143.032,203.641,250.168,289.398,323.964
264-1,1,2,3,4,5,29.7712,59.0452,87.8463,116.197,144.117,386.558,755.877,1119.23,1476.89,1829.13,20.5184,40.1217,59.4083,78.393,97.0895,187.959,367.536,544.211,718.121,889.391
265-1,1,2,3,4,5,34.8879,69.7732,104.656,139.536,174.413,1046.98,2065,3082.95,4100.81,5118.59,39.0752,77.0693,115.061,153.049,191.034,690.519,1361.93,2033.3,2704.61,3375.87
266-1,1,2,3,4,5,44.6188,86.5846,126.321,164.15,200.321,530.706,1017.64,1478.71,1917.65,2337.35,43.2269,82.8888,120.444,156.195,190.381,208.431,399.672,580.753,753.14,917.976
267-1,1,2,3,4,5,35.5275,71.0019,106.423,141.792,177.109,521.762,1018.53,1514.56,2009.86,2504.42,24.7812,48.3755,71.9346,95.4587,118.948,194.855,380.377,565.622,750.592,935.288
268-1,1,2,3,4,5,4.11589,5.9459,7.35122,8.53634,9.58063,1432.84,2006.53,2447.08,2818.6,3145.97,78.7976,110.347,134.575,155.006,173.01,391.433,548.156,668.509,770.004,859.438
269-1,1,2,3,4,5,5.37134,10.7427,16.114,21.4853,26.8565,60.249,102.052,143.856,185.659,227.462,1.7214,2.91579,4.11017,5.30455,6.49893,21.7328,36.8119,51.891,66.9701,82.0491
270-1,1,2,3,4,5,15.4837,30.9652,46.4445,61.9215,77.3964,269.71,470.869,671.999,873.1,1074.17,5.20509,9.08722,12.9688,16.8498,20.7303,71.0059,123.965,176.916,229.859,282.795
271-1,1,2,3,4,5,38.3086,76.3872,114.24,151.871,189.283,462.07,907.762,1350.81,1791.26,2229.16,43.3778,85.2181,126.81,168.158,209.267,354.567,696.566,1036.54,1374.51,1710.53
272-1,1,2,3,4,5,37.3583,74.6545,111.889,149.062,186.175,1252.1,2413.45,3572.89,4730.42,5886.04,39.3629,75.8731,112.323,148.713,185.043,398.28,767.697,1136.5,1504.7,1872.29
273-1,1,2,3,4,5,4.14638,8.29157,12.4356,16.5784,20.72,167.372,313.478,459.543,605.565,751.546,3.80391,7.12451,10.4441,13.7628,17.0806,60.8624,113.992,167.106,220.205,273.289
274-1,1,2,3,4,5,96.1583,191.793,286.912,381.524,475.636,2207.47,4364.01,6508.92,8642.4,10764.6,44.0287,87.0416,129.823,172.376,214.704,1022.56,2021.53,3015.11,4003.4,4986.47
275-1,1,2,3,4,5,8.76645,17.5327,26.2988,35.0647,43.8305,319.065,604.398,889.725,1175.05,1460.36,11.2873,21.3813,31.4751,41.5687,51.6621,106.037,200.864,295.689,390.512,485.333
276-1,1,2,3,4,5,8.62036,17.2207,25.8011,34.3618,42.9028,812.8,1539.29,2264.09,2987.23,3708.71,9.77338,18.5089,27.2242,35.9194,44.5947,347.696,658.47,968.524,1277.86,1586.5
277-1,1,2,3,4,5,19.7411,39.4816,59.2216,78.9609,98.6996,158.005,307.007,456.005,604.998,753.987,11.7041,22.7412,33.778,44.8145,55.8507,63.6409,123.656,183.668,243.679,303.688
278-1,1,2,3,4,5,20.0432,40.0813,60.1142,80.1419,100.165,164.329,298.931,433.498,568.031,702.529,2.28796,4.16203,6.03561,7.90872,9.78134,51.2775,93.2788,135.269,177.249,219.218
279-1,1,2,3,4,5,12.0403,24.0805,36.1205,48.1604,60.2002,128.159,229.645,331.129,432.612,534.093,2.18765,3.91997,5.65228,7.38456,9.11683,39.8332,71.3758,102.918,134.46,166.001
280-1,1,2,3,4,5,20.7545,41.4918,62.212,82.9152,103.601,257.754,498.987,740.021,980.857,1221.49,10.2842,19.9091,29.5262,39.1353,48.7365,142.571,276.004,409.326,542.539,675.642
281-1,1,2,3,4,5,7.51293,10.9903,13.6639,15.9197,17.9079,314.633,451.093,556.012,644.533,722.556,24.7404,35.4706,43.7207,50.6813,56.8165,122.627,175.811,216.703,251.204,281.613
282-1,1,2,3,4,5,13.6721,23.9918,32.6362,40.2258,47.0724,162.983,244.557,312.888,372.881,427.001,4.12036,6.18263,7.9101,9.42678,10.795,85.6119,128.461,164.354,195.867,224.296
283-1,1,2,3,4,5,16.7705,31.8299,45.6148,58.4027,70.3829,276.8,501.516,707.212,898.031,1076.8,5.98488,10.8436,15.2911,19.4169,23.2821,76.0077,137.713,194.196,246.594,295.682
284-1,1,2,3,4,5,35.2533,69.7458,103.525,136.633,169.108,366.761,702.712,1031.71,1354.18,1670.48,8.69642,16.6623,24.4634,32.1095,39.6095,107.382,205.743,302.07,396.483,489.092
285-1,1,2,3,4,5,22.7296,44.2822,64.8238,84.4844,103.369,1720.22,2984.46,4189.38,5342.64,6450.35,241.635,419.219,588.472,750.466,906.064,521.278,904.38,1269.51,1618.98,1954.65
286-1,1,2,3,4,5,27.8192,55.6374,83.4546,111.271,139.086,519.534,1006.26,1492.96,1979.65,2466.32,16.8332,32.6032,48.3727,64.1416,79.91,219.597,425.325,631.047,836.76,1042.47
286-2,1,2,3,4,5,43.1664,86.3279,129.484,172.636,215.782,558.267,1095.51,1632.69,2169.81,2706.87,44.596,87.5126,130.424,173.331,216.233,282.053,553.485,824.885,1096.25,1367.59
287-1,1,2,3,4,5,34.8048,68.5791,101.409,133.37,164.528,528.543,1022.81,1503.27,1971,2426.98,17.6926,34.238,50.3209,65.978,81.2416,238.443,461.425,678.174,889.185,1094.89
288-1,1,2,3,4,5,31.788,63.5355,95.2426,126.91,158.536,667.738,1313.43,1958.3,2602.36,3245.6,48.7004,95.7929,142.826,189.799,236.712,261.902,515.157,768.09,1020.7,1273
289-1,1,2,3,4,5,66.1929,128.931,188.704,245.897,300.817,1109.83,2157.85,3156.35,4111.74,5029.18,76.9788,149.67,218.927,285.194,348.828,665.701,1294.33,1893.25,2466.31,3016.61
290-1,1,2,3,4,5,84.8114,166.988,246.76,324.328,399.865,1233.96,2411.4,3554.4,4665.81,5748.11,43.715,85.4277,125.92,165.294,203.636,257.323,502.859,741.213,972.981,1198.68
291-1,1,2,3,4,5,49.3858,98.7664,148.142,197.512,246.877,1034.32,2044.52,3054.61,4064.59,5074.47,33.6069,66.4299,99.2495,132.066,164.878,446.884,883.345,1319.76,1756.13,2192.45
292-1,1,2,3,4,5,7.58088,15.1597,22.7366,30.3114,37.8842,202.221,376.691,551.113,725.489,899.819,12.3924,23.0841,33.7729,44.4589,55.142,111.532,207.758,303.957,400.132,496.28
293-1,1,2,3,4,5,20.4867,40.9727,61.4581,81.9428,102.427,1164.13,2302.98,3441.8,4580.57,5719.32,16.2867,32.2197,48.1523,64.0843,80.0158,269.403,532.955,796.5,1060.04,1323.56
294-1,1,2,3,4,5,0.853931,1.34304,1.72593,2.05141,2.33948,591.965,763.725,898.186,1012.49,1113.65,31.2601,40.3302,47.4308,53.4666,58.8086,173.712,224.115,263.573,297.114,326.799
295-1,1,2,3,4,5,41.7463,82.4446,122.17,160.99,198.962,2701.33,5264.49,7766.38,10211.2,12602.7,35.4878,69.1605,102.028,134.146,165.564,1143.19,2227.91,3286.7,4321.34,5333.41
296-1,1,2,3,4,5,9.7086,19.3946,29.0581,38.6994,48.3185,384.515,732.495,1079.67,1426.04,1771.62,9.85934,18.7819,27.6837,36.565,45.426,102.209,194.706,286.989,379.058,470.917
297-1,1,2,3,4,5,39.7935,79.5816,119.364,159.141,198.913,311.693,612.493,913.251,1213.97,1514.64,24.8644,48.8598,72.8519,96.8407,120.826,98.1257,192.822,287.505,382.175,476.833
298-1,1,2,3,4,5,28.5767,57.0882,85.5349,113.917,142.236,411.085,739.418,1067,1393.85,1719.96,2.94821,5.30294,7.65232,9.99639,12.3352,85.9516,154.601,223.094,291.433,359.617
299-1,1,2,3,4,5,38.1744,75.9016,113.197,150.075,186.549,373.065,705.592,1034.31,1359.35,1680.84,7.69522,14.5542,21.3348,28.0394,34.6706,130.819,247.422,362.69,476.669,589.4
300-1,1,2,3,4,5,26.0445,49.1325,70.088,89.4114,107.433,280.096,497.333,694.506,876.321,1045.89,12.9456,22.9859,32.099,40.5022,48.3394,120.882,214.636,299.731,378.198,451.38
301-1,1,2,3,4,5,14.7183,28.4437,41.3537,53.5784,65.2165,254.229,472.397,677.603,871.915,1056.9,10.2496,19.0454,27.3185,35.1525,42.6106,97.1323,180.487,258.889,333.129,403.807
302-1,1,2,3,4,5,42.0344,84.0674,126.099,168.129,210.158,397.474,761.938,1126.39,1490.83,1855.26,13.1884,25.2815,37.3742,49.4665,61.5585,182.708,350.241,517.77,685.293,852.811
303-1,1,2,3,4,5,9.09286,18.1854,27.2777,36.3697,45.4614,382.34,739.071,1095.79,1452.5,1809.2,16.5902,32.0692,47.5477,63.0257,78.5032,278.97,539.255,799.533,1059.8,1320.06
304-1,1,2,3,4,5,8.00126,11.7182,14.5764,16.9881,19.1138,457.923,653.835,804.485,931.598,1043.64,24.2031,34.5579,42.5204,49.2388,55.1607,181.685,259.415,319.187,369.62,414.073
305-1,1,2,3,4,5,26.2714,52.5351,78.7911,105.039,131.28,1191.41,2235.94,3280.16,4324.08,5367.69,25.7739,48.3704,70.9603,93.5436,116.12,714.243,1340.43,1966.44,2592.26,3217.91
306-1,1,2,3,4,5,8.42564,16.844,25.2551,33.6589,42.0555,413.567,782.73,1151.57,1520.1,1888.31,20.5142,38.8257,57.1215,75.4015,93.6658,102.297,193.61,284.845,376.001,467.078
307-1,1,2,3,4,5,5.36764,9.80142,13.666,17.1366,20.3138,423.189,731.837,1000.86,1242.46,1463.63,16.7403,28.9497,39.5915,49.1487,57.8978,135.902,235.021,321.414,399.002,470.03
308-1,1,2,3,4,5,12.496,24.9914,37.4863,49.9807,62.4745,497.567,959.356,1421.12,1882.87,2344.6,23.5096,45.3288,67.147,88.9642,110.781,192.264,370.703,549.135,727.558,905.974
309-1,1,2,3,4,5,9.42918,18.7292,27.9052,36.962,45.9041,342.991,635.569,924.245,1209.17,1490.49,10.8839,20.1681,29.3285,38.37,47.2969,143.844,266.547,387.613,507.106,625.087
310-1,1,2,3,4,5,52.7611,105.186,157.281,209.052,260.505,204.504,388.055,570.45,751.712,931.862,3.1516,5.9803,8.79119,11.5846,14.3609,49.375,93.6913,137.729,181.492,224.987
311-1,1,2,3,4,5,17.9711,35.9397,53.9058,71.8695,89.8306,440.559,858.276,1275.94,1693.54,2111.08,36.3348,70.7858,105.232,139.674,174.11,174.407,339.772,505.113,670.432,835.728
312-1,1,2,3,4,5,10.8629,21.7251,32.5867,43.4476,54.3079,357.223,624.101,890.963,1157.81,1424.64,5.49573,9.60154,13.7071,17.8124,21.9175,118.55,207.118,295.681,384.238,472.79
313-1,1,2,3,4,5,47.2345,94.4676,141.699,188.929,236.158,541.122,1057.34,1573.54,2089.73,2605.9,15.9482,31.1624,46.3762,61.5895,76.8023,157.249,307.261,457.269,607.271,757.27
314-1,1,2,3,4,5,11.5729,23.1455,34.7179,46.29,57.8618,373.321,726.45,1079.57,1432.68,1785.79,10.7783,20.9737,31.1688,41.3637,51.5583,130.809,254.544,378.275,502.004,625.73
315-1,1,2,3,4,5,23.0735,46.1467,69.2194,92.2918,115.364,212.241,406.317,600.39,794.46,988.526,8.6044,16.4724,24.3402,32.2079,40.0754,74.5713,142.76,210.948,279.135,347.32
316-1,1,2,3,4,5,165.416,329.102,491.113,651.498,810.306,548.12,1066.94,1580.44,2088.79,2592.14,5.28141,10.2804,15.2283,20.1265,24.9766,185.538,361.156,534.977,707.053,877.437
317-1,1,2,3,4,5,16.0067,32.0128,48.0181,64.0228,80.0268,452.926,886.776,1320.61,1754.42,2188.21,22.5497,44.1496,65.7485,87.3465,108.944,175.887,344.366,512.837,681.301,849.758
318-1,1,2,3,4,5,5.79073,11.5812,17.3715,23.1616,28.9515,208.748,357.945,507.137,656.323,805.504,3.98492,6.83303,9.68104,12.5289,15.3767,58.854,100.918,142.981,185.042,227.102
319-1,1,2,3,4,5,38.7442,77.1739,115.297,153.12,190.65,458.618,875.775,1289.6,1700.17,2107.56,38.7721,74.0391,109.024,143.735,178.176,142.349,271.829,400.275,527.711,654.161
320-1,1,2,3,4,5,24.6457,49.2901,73.9333,98.5752,123.216,340.915,667.659,994.386,1321.1,1647.79,26.6757,52.2426,77.8082,103.372,128.935,173.926,340.622,507.309,673.988,840.658
321-1,1,2,3,4,5,12.8005,25.6003,38.3993,51.1977,63.9954,490.001,938.129,1386.23,1834.31,2282.36,30.2084,57.8353,85.4607,113.085,140.707,58.4655,111.935,165.401,218.864,272.325
322-1,1,2,3,4,5,17.0653,34.1284,51.1893,68.2481,85.3046,357.809,691.478,1025.11,1358.69,1692.23,19.05,36.8148,54.5773,72.3376,90.0956,115.128,222.489,329.837,437.17,544.491
323-1,1,2,3,4,5,23.056,45.3393,66.9229,87.8688,108.23,283.2,523.645,756.539,982.552,1202.26,11.0118,20.3611,29.4168,38.2049,46.7479,89.2238,164.977,238.352,309.559,378.779
324-1,1,2,3,4,5,31.4632,62.0043,91.7,120.617,148.813,224.074,425.354,621.062,811.637,997.462,7.42842,14.1012,20.5892,26.9071,33.0675,66.754,126.718,185.021,241.795,297.155
325-1,1,2,3,4,5,5.17032,9.45273,13.1905,16.5502,19.6275,566.141,995.187,1369.67,1706.27,2014.58,28.045,49.2986,67.8493,84.5234,99.7963,507.773,892.585,1228.46,1530.35,1806.88
326-1,1,2,3,4,5,47.4596,94.3862,140.797,186.71,232.139,138.549,270.714,401.427,530.735,658.683,10.4565,20.4312,30.2963,40.0554,49.7118,44.4403,86.8327,128.759,170.236,211.275
327-1,1,2,3,4,5,11.6911,22.9316,33.7699,44.2463,54.3948,384.23,741.004,1085.01,1417.53,1739.65,16.9337,32.6575,47.8186,62.4735,76.6697,171.484,330.715,484.249,632.655,776.417
328-1,1,2,3,4,5,26.2814,52.5604,78.837,105.111,131.383,1146.15,2271.35,3396.44,4521.43,5646.31,46.2132,91.5813,136.945,182.305,227.661,361.743,716.87,1071.97,1427.03,1782.06
329-1,1,2,3,4,5,35.3028,68.5619,100.096,130.148,158.909,233.468,436.896,629.772,813.585,989.504,10.3508,19.3698,27.921,36.0703,43.8697,74.7559,139.893,201.651,260.508,316.837
330-1,1,2,3,4,5,38.8463,76.6957,113.621,149.688,184.952,225.634,438.889,646.94,850.149,1048.84,15.575,30.2956,44.6569,58.684,72.3992,81.1542,157.856,232.686,305.775,377.238
331-1,1,2,3,4,5,11.1048,21.7637,32.0265,41.9342,51.5214,198.163,371.053,537.518,698.223,853.73,14.7699,27.6561,40.0634,52.0414,63.632,112.005,209.726,303.814,394.648,482.543
332-1,1,2,3,4,5,48.3028,96.6009,144.894,193.183,241.466,564.977,1120.97,1676.9,2232.78,2788.6,46.8956,93.0451,139.19,185.33,231.466,455.554,903.862,1352.12,1800.34,2248.52
333-1,1,2,3,4,5,70.0113,139.892,209.644,279.266,348.76,590.916,1158.66,1725.34,2290.98,2855.58,23.5585,46.193,68.7856,91.3363,113.846,463.882,909.569,1354.43,1798.47,2241.69
334-1,1,2,3,4,5,22.9822,45.9597,68.9325,91.9007,114.864,196.049,375.944,555.801,735.623,915.408,12.755,24.459,36.1606,47.8598,59.5566,77.4751,148.566,219.643,290.705,361.752
335-1,1,2,3,4,5,22.8474,45.6919,68.5335,91.3721,114.208,584.736,1157.76,1730.71,2303.58,2876.39,65.6797,130.044,194.4,258.747,323.086,266.443,527.548,788.62,1049.66,1310.66
336-1,1,2,3,4,5,4.6513,9.18714,13.6157,17.9443,22.1794,121.305,229.794,335.718,439.25,540.545,8.64139,16.3698,23.9154,31.2907,38.5066,66.3593,125.708,183.652,240.289,295.702
337-1,1,2,3,4,5,8.85844,16.9341,24.4039,31.3865,37.9666,305.002,552.79,781.986,996.237,1198.13,21.3232,38.6464,54.6699,69.6486,83.7635,190.558,345.371,488.568,622.427,748.568
338-1,1,2,3,4,5,55.5426,111.069,166.58,222.076,277.555,777.242,1538.14,2298.83,3059.29,3819.54,38.2921,75.7791,113.255,150.721,188.176,331.475,655.981,980.395,1304.72,1628.95
339-1,1,2,3,4,5,58.1985,116.393,174.585,232.773,290.958,788.527,1535.69,2282.81,3029.88,3776.91,23.079,44.9473,66.8143,88.6799,110.544,297.719,579.82,861.904,1143.97,1426.02
340-1,1,2,3,4,5,42.0354,84.0659,126.091,168.112,210.128,560.297,1104.88,1649.39,2193.84,2738.23,59.9973,118.311,176.619,234.919,293.213,245.795,484.694,723.566,962.409,1201.23
341-1,1,2,3,4,5,11.8685,23.7254,35.5708,47.4047,59.2272,249.509,481.839,713.944,945.824,1177.48,19.7715,38.1817,56.574,74.9485,93.3053,89.1535,172.169,255.103,337.958,420.732
342-1,1,2,3,4,5,2.54656,4.85008,6.96918,8.94212,10.7955,148.443,238.803,321.928,399.321,472.025,9.34257,15.0296,20.2613,25.1321,29.7079,56.0554,90.1774,121.568,150.793,178.247
343-1,1,2,3,4,5,24.9418,49.7977,74.5686,99.2553,123.859,391.343,728.983,1065.47,1400.81,1735.02,6.00016,11.1769,16.336,21.4775,26.6017,72.6687,135.365,197.847,260.117,322.177
344-1,1,2,3,4,5,7.99166,11.5656,14.3106,16.6255,18.6654,571.759,818.727,1008.41,1168.38,1309.34,27.136,38.8572,47.8595,55.4517,62.1419,159.484,228.372,281.28,325.901,365.22
345-1,1,2,3,4,5,6.53314,12.5491,18.1542,23.4226,28.4085,151.68,278.3,396.272,507.158,612.098,13.8697,25.4479,36.2353,46.3747,55.9705,65.2172,119.659,170.383,218.06,263.181
346-1,1,2,3,4,5,15.6034,31.2061,46.8079,62.4089,78.0092,312.882,608.196,903.495,1198.78,1494.05,12.9172,25.1091,37.3004,49.491,61.681,71.4031,138.797,206.187,273.574,340.958
347-1,1,2,3,4,5,21.6116,43.206,64.7832,86.3433,107.886,513.284,996.072,1478.48,1960.5,2442.14,22.4004,43.4699,64.5227,85.5588,106.578,213.045,413.433,613.661,813.731,1013.64
348-1,1,2,3,4,5,12.0811,23.4962,34.3445,44.703,54.6325,185.215,339.554,486.231,626.284,760.538,9.16056,16.794,24.0485,30.9754,37.6155,53.5323,98.1405,140.534,181.013,219.816
349-1,1,2,3,4,5,26.9718,53.9423,80.9116,107.88,134.847,622.913,1226.1,1829.27,2432.4,3035.51,20.7346,40.8127,60.8899,80.9661,101.041,371.323,730.89,1090.44,1449.97,1809.49
350-1,1,2,3,4,5,1.76619,3.40719,4.94637,6.40062,7.78261,163.668,289.68,407.873,519.544,625.666,6.7177,11.8898,16.741,21.3245,25.6803,55.2684,97.8209,137.733,175.443,211.279
351-1,1,2,3,4,5,5.88025,11.7577,17.6324,23.5044,29.3736,301.247,564.372,827.374,1090.25,1353.01,11.3535,21.2703,31.1824,41.0899,50.9927,115.806,216.957,318.061,419.117,520.126
352-1,1,2,3,4,5,13.1376,26.275,39.4121,52.549,65.6857,162.756,293.358,423.958,554.555,685.15,6.16859,11.1185,16.0684,21.0181,25.9678,72.1249,130.001,187.876,245.75,303.622
353-1,1,2,3,4,5,23.3684,46.7303,70.0858,93.4348,116.777,221.737,421.051,620.309,819.513,1018.66,12.5095,23.7539,34.9953,46.2335,57.4687,126.811,240.799,354.755,468.68,582.573
354-1,1,2,3,4,5,28.4892,55.852,82.2121,107.672,132.319,902.474,1722.21,2511.91,3274.66,4013.03,39.4892,75.358,109.913,143.288,175.596,358.936,684.965,999.048,1302.41,1596.08
355-1,1,2,3,4,5,17.1682,34.2715,51.3109,68.2869,85.2003,288.575,540.492,791.466,1041.51,1290.63,20.1944,37.8235,55.3866,72.8844,90.3176,85.7529,160.613,235.192,309.495,383.523
356-1,1,2,3,4,5,8.69982,17.3804,26.0419,34.6845,43.3082,1222.68,2309.22,3393.38,4475.17,5554.59,37.0671,70.0072,102.875,135.671,168.395,338.975,640.21,940.782,1240.7,1539.96
357-1,1,2,3,4,5,26.7086,53.3021,79.782,106.15,132.407,573.848,1123.15,1670.11,2214.75,2757.11,37.9949,74.3649,110.579,146.641,182.55,484.302,947.89,1409.5,1869.15,2326.87
358-1,1,2,3,4,5,18.3942,28.334,36.0598,42.6073,48.3924,280.947,419.334,526.896,618.054,698.597,33.948,50.6697,63.6669,74.6818,84.4142,89.2592,133.226,167.399,196.361,221.95
359-1,1,2,3,4,5,30.0168,59.988,89.9139,119.795,149.631,404.838,752.62,1099.88,1446.61,1792.82,13.151,24.4486,35.7291,46.9925,58.2391,112.317,208.805,305.147,401.343,497.395
360-1,1,2,3,4,5,23.7363,47.3273,70.7755,94.0835,117.254,257.044,485.037,711.65,936.909,1160.84,11.059,20.8681,30.6179,40.3094,49.9436,88.0584,166.165,243.798,320.967,397.681
361-1,1,2,3,4,5,45.6951,91.3841,137.067,182.744,228.415,2128.22,4234.92,6341.34,8447.48,10553.3,67.0001,133.323,199.637,265.942,332.238,825.182,1642.02,2458.75,3275.38,4091.89
362-1,1,2,3,4,5,29.807,59.6125,89.4165,119.219,149.02,432.353,845.004,1257.63,1670.24,2082.83,27.1674,53.0967,79.0248,104.951,130.877,165.328,323.121,480.907,638.685,796.454
363-1,1,2,3,4,5,83.959,167.872,251.74,335.562,419.339,17388.3,34633.4,51869.2,69095.6,86312.7,274.492,546.724,818.809,1090.75,1362.54,4811.7,9583.81,14353.3,19120.2,23884.6
364-1,1,2,3,4,5,19.0564,37.2003,54.5516,71.2059,87.2409,402.016,754.267,1091.13,1414.46,1725.76,32.8359,61.607,89.1212,115.53,140.957,198.791,372.973,539.546,699.427,853.363
365-1,1,2,3,4,5,19.1217,37.6918,55.7554,73.3519,90.5157,440.269,838.601,1226.07,1603.52,1971.68,26.8099,51.066,74.6606,97.645,120.064,230.397,438.847,641.612,839.134,1031.8
366-1,1,2,3,4,5,47.6886,95.3754,143.06,190.743,238.424,201.366,396.959,592.545,788.122,983.692,9.36585,18.4632,27.5601,36.6567,45.753,116.137,228.943,341.746,454.543,567.337
367-1,1,2,3,4,5,8.04246,15.3031,21.9734,28.1776,34.0016,399.8,726.452,1026.55,1305.67,1567.69,23.7301,43.1185,60.9306,77.498,93.05,167.142,303.704,429.164,545.855,655.395
368-1,1,2,3,4,5,39.1547,78.3048,117.45,156.591,195.727,584.943,1136.43,1687.85,2239.2,2790.49,47.3314,91.9555,136.574,181.188,225.796,156.283,303.627,450.953,598.262,745.553
369-1,1,2,3,4,5,53.3391,106.672,159.998,213.319,266.633,1123.23,2222.97,3322.58,4422.05,5521.4,45.5715,90.19,134.803,179.411,224.014,796.008,1575.37,2354.64,3133.82,3912.9
370-1,1,2,3,4,5,33.6118,67.0805,100.408,133.596,166.646,461.164,903.503,1343.98,1782.6,2219.41,38.1215,74.6869,111.098,147.357,183.465,157.78,309.12,459.821,609.891,759.338
371-1,1,2,3,4,5,11.6134,23.0814,34.4093,45.6022,56.6646,2949.92,5678.62,8373.99,11037.2,13669.4,44.6776,86.0049,126.827,167.163,207.029,1211.63,2332.41,3439.49,4533.37,5614.51
372-1,1,2,3,4,5,16.4736,32.8308,49.074,65.2056,81.2279,218.519,416.248,612.599,807.601,1001.28,27.3632,52.123,76.7103,101.129,125.381,70.9131,135.08,198.799,262.08,324.933
373-1,1,2,3,4,5,14.2853,28.5697,42.8533,57.136,71.4178,247.23,477.298,707.352,937.393,1167.42,32.33,62.4157,92.4996,122.582,152.662,84.0585,162.282,240.5,318.714,396.924
374-1,1,2,3,4,5,10.4957,19.7966,28.2364,36.0176,43.2739,394.02,707.534,992.024,1254.31,1498.91,18.6587,33.505,46.977,59.3976,70.9802,106.806,191.789,268.904,340.002,406.303
375-1,1,2,3,4,5,8.80039,17.5246,26.1747,34.7525,43.2597,418.889,779.445,1136.94,1491.44,1843.02,14.0104,26.0697,38.0266,49.8834,61.6427,240.803,448.073,653.58,857.369,1059.48
376-1,1,2,3,4,5,34.2639,68.2636,102.005,135.494,168.737,1116.15,2217.21,3309.91,4394.44,5470.98,88.0604,174.931,261.141,346.707,431.643,378.932,752.744,1123.72,1491.92,1857.4
377-1,1,2,3,4,5,6.94461,13.8794,20.8045,27.7198,34.6255,627.282,1218.36,1808.6,2398.01,2986.61,42.2522,82.0654,121.823,161.524,201.17,160.883,312.48,463.864,615.035,765.995
378-1,1,2,3,4,5,38.7431,75.8274,111.449,145.77,178.921,259.657,497.257,725.488,945.378,1157.78,8.53015,16.3357,23.8334,31.0571,38.0349,84.9606,162.704,237.382,309.33,378.828
379-1,1,2,3,4,5,21.6313,43.2133,64.7461,86.2301,107.666,386.102,727.83,1068.78,1408.96,1748.37,10.0836,19.0082,27.9125,36.7967,45.6609,85.8731,161.877,237.707,313.366,388.855
380-1,1,2,3,4,5,94.4707,188.837,283.101,377.26,471.318,1125.24,2226.02,3325.6,4423.97,5521.14,44.4415,87.9169,131.345,174.725,218.057,810.148,1602.68,2394.35,3185.15,3975.09
381-1,1,2,3,4,5,83.6491,167.27,250.863,334.427,417.963,217.575,421.771,625.898,829.956,1033.94,2.8343,5.49431,8.15342,10.8116,13.4689,73.1914,141.882,210.549,279.194,347.815
382-1,1,2,3,4,5,27.657,49.5966,68.3543,85.0101,100.144,501.508,854.472,1156.24,1424.2,1667.67,18.5887,31.6716,42.857,52.789,61.8132,124.39,211.936,286.785,353.246,413.633
383-1,1,2,3,4,5,17.5976,35.1946,52.7911,70.3869,87.9821,23.7674,45.9469,68.1256,90.3036,112.481,18.3901,35.5515,52.7123,69.8726,87.0323,79.9718,154.601,229.227,303.851,378.472
384-1,1,2,3,4,5,6.41737,12.8346,19.2517,25.6687,32.0856,176.982,326.553,476.12,625.684,775.246,11.6797,21.5503,31.4208,41.2911,51.1612,28.3651,52.3369,76.3081,100.279,124.249
385-1,1,2,3,4,5,34.1913,68.3748,102.551,136.719,170.879,796.681,1568.7,2340.54,3112.21,3883.7,60.695,119.511,178.314,237.103,295.879,253.293,498.745,744.141,989.482,1234.77
386-1,1,2,3,4,5,24.0175,48.0339,72.0491,96.0633,120.076,839.527,1649.87,2460.17,3270.44,4080.67,23.889,46.9476,70.0051,93.0615,116.117,308.851,606.965,905.065,1203.15,1501.22
387-1,1,2,3,4,5,31.1063,61.0936,90.0745,118.144,145.383,327.864,630.321,922.629,1205.75,1480.49,14.8654,28.5789,41.8322,54.6687,67.1255,88.3666,169.886,248.669,324.976,399.024
388-1,1,2,3,4,5,42.2285,84.0481,125.471,166.507,207.168,684.848,1321.62,1952.35,2577.2,3196.33,71.3384,137.669,203.37,268.459,332.952,273.463,527.731,779.584,1029.09,1276.31
389-1,1,2,3,4,5,16.1195,32.2374,48.3537,64.4683,80.5812,544.878,1063.05,1581.17,2099.24,2617.26,47.3806,92.4392,137.493,182.542,227.587,151.449,295.475,439.487,583.484,727.466
390-1,1,2,3,4,5,40.5147,81.0267,121.536,162.042,202.546,466.118,913.529,1360.91,1808.26,2255.58,35.7481,70.0615,104.373,138.681,172.988,196.846,385.791,574.724,763.644,952.55
